date,adm2_id,ADM2_PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
#date,#adm2+id,#adm2+code,#indicator+n_pixels+num,#indicator+rfh+num,#indicator+rfh_avg+num,#indicator+r1h+num,#indicator+r1h_avg+num,#indicator+r3h+num,#indicator+r3h_avg+num,#indicator+rfq+pct,#indicator+r1q+pct,#indicator+r3q+pct,#status
2021-01-01,5982,BT00702,2.0,1.5,1.7833,4.5,5.6333,35.5,51.9,95.8231,92.7505,73.5057,final
2021-01-11,5982,BT00702,2.0,1.5,1.6167,4.5,5.3167,29.5,33.7333,98.2368,94.6681,90.3201,final
2021-01-21,5982,BT00702,2.0,1.0,2.0,4.0,5.4,12.0,16.1833,85.7143,90.9091,84.0229,final
2021-02-01,5982,BT00702,2.0,1.5,2.3833,4.0,6.0,12.5,16.2,88.0361,87.5,85.8779,final
2021-02-11,5982,BT00702,2.0,1.0,2.9,3.5,7.2833,12.5,17.6,75.9494,78.1099,81.5217,final
2021-02-21,5982,BT00702,2.0,1.5,2.3,4.0,7.5833,12.5,18.75,89.0411,79.6209,78.2609,final
2021-03-01,5982,BT00702,2.0,5.0,5.1667,7.5,10.3667,16.0,22.0,98.3607,85.9247,81.25,final
2021-03-11,5982,BT00702,2.0,5.0,6.45,11.5,13.9167,19.5,26.5167,87.3362,89.8955,80.785,final
2021-03-21,5982,BT00702,2.0,7.5,14.75,17.5,26.3667,25.5,39.35,63.2911,75.6187,71.9352,final
2021-04-01,5982,BT00702,2.0,11.0,19.3667,23.5,40.5667,35.0,56.9333,65.6635,66.2492,67.2311,final
2021-04-11,5982,BT00702,2.0,13.0,23.5667,31.5,57.6833,46.5,78.8833,63.0105,61.3149,63.5665,final
2021-04-21,5982,BT00702,2.0,14.0,22.8333,38.0,65.7667,59.5,99.7167,68.2635,63.3524,63.345,final
2021-05-01,5982,BT00702,2.0,21.5,26.0333,48.5,72.4333,79.5,123.3667,85.3921,70.9664,67.1082,final
2021-05-11,5982,BT00702,2.0,23.0,23.5833,58.5,72.45,101.5,144.05,97.9592,83.0807,72.3791,final
2021-05-21,5982,BT00702,2.0,19.5,35.1,64.0,84.7167,119.5,176.85,61.0973,78.1277,69.3069,final
2021-06-01,5982,BT00702,2.0,66.5,53.5167,109.0,112.2,181.0,225.2,122.1874,97.3813,81.2075,final
2021-06-11,5982,BT00702,2.0,56.5,62.9333,142.5,151.55,232.5,281.6833,90.5299,94.398,83.1381,final
2021-06-21,5982,BT00702,2.0,32.5,55.3833,155.5,171.8333,257.5,322.3167,62.1032,91.0174,80.4955,final
2021-07-01,5982,BT00702,2.0,16.5,30.9833,105.5,149.3,263.0,333.9333,59.7499,72.5047,79.3758,final
2021-07-11,5982,BT00702,2.0,22.0,24.45,71.0,110.8167,272.0,334.8167,91.6808,67.0437,81.7826,final
2021-07-21,5982,BT00702,2.0,28.5,30.55,67.0,85.9833,286.5,342.5333,94.2335,80.2223,84.1055,final
2021-08-01,5982,BT00702,2.0,17.5,35.6,68.0,90.6,282.5,352.1,55.4187,77.5348,80.7788,final
2021-08-11,5982,BT00702,2.0,35.5,44.6833,81.5,110.8333,295.0,373.2,81.5163,75.7241,79.5929,final
2021-08-21,5982,BT00702,2.0,28.5,41.0,81.5,121.2833,304.0,379.1,72.8261,69.6966,80.699,final
2021-09-01,5982,BT00702,2.0,28.5,21.6833,92.5,107.3667,266.0,347.2667,125.5465,87.3331,77.2532,final
2021-09-11,5982,BT00702,2.0,12.0,19.7833,69.0,82.4667,221.5,304.1167,68.5945,85.4362,73.6987,final
2021-09-21,5982,BT00702,2.0,10.5,20.8167,51.0,62.2833,199.5,269.55,60.0387,84.3901,74.9419,final
2021-10-01,5982,BT00702,2.0,7.0,25.5333,29.5,66.1333,190.0,264.1,39.3013,51.8827,72.9661,final
2021-10-11,5982,BT00702,2.0,10.0,19.7833,27.5,66.1333,178.0,259.4333,60.5245,49.2557,69.7761,final
2021-10-21,5982,BT00702,2.0,17.0,19.55,34.0,64.8667,166.5,248.4333,89.613,58.7711,68.2961,final
2021-11-01,5982,BT00702,2.0,1.0,2.3667,28.0,41.7,150.0,215.2,81.448,73.501,71.048,final
2021-11-11,5982,BT00702,2.0,1.0,1.5,19.0,23.4167,115.5,172.0167,92.3077,86.783,68.9497,final
2021-11-21,5982,BT00702,2.0,1.0,1.15,3.0,5.0167,88.0,132.1667,97.561,86.5705,68.9332,final
2021-12-01,5982,BT00702,2.0,2.0,1.9167,4.0,4.5667,61.5,112.4,101.2048,96.1098,58.415,final
2021-12-11,5982,BT00702,2.0,2.0,1.9333,5.0,5.0,51.5,94.55,100.9615,100.0,58.8235,final
2021-12-21,5982,BT00702,2.0,2.0,1.9167,6.0,5.7667,43.0,75.65,101.2048,101.4799,61.8797,final
2022-01-01,5982,BT00702,2.0,2.5,1.7833,6.5,5.6333,38.5,51.9,110.5651,105.5437,78.3522,final
2022-01-11,5982,BT00702,2.0,3.0,1.6167,7.5,5.3167,31.5,33.7333,120.9068,114.2546,94.8933,final
2022-01-21,5982,BT00702,2.0,2.5,2.0,8.0,5.4,17.0,16.1833,107.1429,116.8831,103.119,final
2022-02-01,5982,BT00702,2.0,6.0,2.3833,11.5,6.0,22.0,16.2,148.9842,134.375,122.1374,final
2022-02-11,5982,BT00702,2.0,2.0,2.9,10.5,7.2833,23.0,17.6,88.6076,118.6114,119.5652,final
2022-02-21,5982,BT00702,2.0,2.0,2.3,10.0,7.5833,24.0,18.75,95.8904,113.7441,118.2609,final
2022-03-01,5982,BT00702,2.0,3.5,5.1667,7.5,10.3667,25.5,22.0,83.6066,85.9247,110.9375,final
2022-03-11,5982,BT00702,2.0,2.5,6.45,8.0,13.9167,26.0,26.5167,65.5022,75.2613,98.5851,final
2022-03-21,5982,BT00702,2.0,4.5,14.75,10.5,26.3667,28.5,39.35,48.1013,56.3703,78.0142,final
2022-04-01,5982,BT00702,2.0,6.0,19.3667,13.0,40.5667,32.0,56.9333,45.1436,45.4845,62.749,final
2022-04-11,5982,BT00702,2.0,12.0,23.5667,22.5,57.6833,41.0,78.8833,59.5099,48.0177,57.3786,final
2022-04-21,5982,BT00702,2.0,9.0,22.8333,27.0,65.7667,47.5,99.7167,50.2994,48.8341,52.4077,final
2022-05-01,5982,BT00702,2.0,13.5,26.0333,34.5,72.4333,55.0,123.3667,59.6133,53.983,48.7378,final
2022-05-11,5982,BT00702,2.0,34.5,23.5833,57.0,72.45,87.5,144.05,138.1924,81.2614,63.2911,final
2022-05-21,5982,BT00702,2.0,23.0,35.1,71.0,84.7167,108.5,176.85,69.8254,85.5182,63.4199,final
2022-06-01,5982,BT00702,2.0,40.0,53.5167,97.5,112.2,145.0,225.2,76.9012,87.9705,65.9014,final
2022-06-11,5982,BT00702,2.0,176.0,62.9333,239.0,151.55,318.5,281.6833,266.4377,154.1318,112.6221,final
2022-06-21,5982,BT00702,2.0,41.0,55.3833,257.0,171.8333,355.0,322.3167,76.18,146.8378,109.835,final
